Winner,Pts,Loser,Pts
Arizona,21,Stanford,20
Arkansas State,44,Southern Mississippi,37
Central Michigan,34,South Alabama,30
Colorado State,31,Middle Tennessee State,23
(18) Duke,41,Connecticut,7
East Carolina,44,Gardner-Webb,0
(25) Florida,22,Charlotte,7
(4) Florida State,31,Clemson,24
Fresno State,53,Kent State,10
(1) Georgia,49,Alabama-Birmingham,21
Georgia Southern,40,Ball State,3
Georgia Tech,30,Wake Forest,16
Houston,38,Sam Houston,7
Illinois,23,Florida Atlantic,17
Indiana,29,Akron,27
Iowa State,34,Oklahoma State,27
Jacksonville State,21,Eastern Michigan,0
James Madison,45,Utah State,38
Kansas,38,Brigham Young,27
Kansas State,44,Central Florida,31
Kentucky,45,Vanderbilt,28
Liberty,38,Florida International,6
Louisiana,45,Buffalo,38
(12) Louisiana State,34,Arkansas,31
Louisville,56,Boston College,28
Marshall,24,Virginia Tech,17
Maryland,31,Michigan State,9
(20) Miami (FL),41,Temple,7
Miami (OH),62,Delaware State,20
(2) Michigan,31,Rutgers,7
Missouri,34,Memphis,27
Nebraska,28,Louisiana Tech,14
Nevada-Las Vegas,45,Texas-El Paso,28
New Mexico,34,Massachusetts,31
(17) North Carolina,41,Pittsburgh,24
Northwestern,37,Minnesota,34
Ohio,38,Bowling Green,7
(6) Ohio State,17,(9) Notre Dame,14
(16) Oklahoma,20,Cincinnati,6
Old Dominion,10,Texas A&M-Commerce,9
(10) Oregon,42,(19) Colorado,6
(7) Penn State,31,(24) Iowa,0
South Carolina,37,Mississippi State,30
South Florida,42,Rice,29
(5) Southern California,42,Arizona State,28
Syracuse,29,Army,16
(23) Tennessee,45,Texas-San Antonio,14
(3) Texas,38,Baylor,6
Texas A&M,27,Auburn,10
Texas Christian,34,Southern Methodist,17
Texas State,35,Nevada,24
Toledo,49,Western Michigan,31
Troy,27,Western Kentucky,24
Tulane,36,Nicholls State,7
Tulsa,22,Northern Illinois,14
(11) Utah,14,(22) UCLA,7
(8) Washington,59,California,32
(21) Washington State,38,(14) Oregon State,35
West Virginia,20,Texas Tech,13
Wyoming,22,Appalachian State,19
Hawaii,20,New Mexico State,17
Jacksonville State,35,Sam Houston,28
Tulsa,48,Temple,26
Western Kentucky,31,Middle Tennessee State,10
Brigham Young,35,Cincinnati,27
Louisiana Tech,24,Texas-El Paso,10
Louisville,13,North Carolina State,10
(19) Oregon State,21,(10) Utah,7
Air Force,49,San Diego State,10
(12) Alabama,40,Mississippi State,17
Appalachian State,41,Louisiana-Monroe,40
Arkansas State,52,Massachusetts,28
Baylor,36,Central Florida,35
Boston College,27,Virginia,24
Bowling Green,38,Georgia Tech,27
Buffalo,13,Akron,10
California,24,Arizona State,21
Central Michigan,26,Eastern Michigan,23
Clemson,31,Syracuse,14
Colorado State,41,Utah Tech,20
(25) Fresno State,27,Nevada,9
(1) Georgia,27,Auburn,20
Georgia Southern,38,Coastal Carolina,28
Iowa,26,Michigan State,16
James Madison,31,South Alabama,23
Kentucky,33,(22) Florida,14
Marshall,41,Old Dominion,35
Maryland,44,Indiana,17
Memphis,35,Boise State,32
Miami (OH),23,Kent State,3
(2) Michigan,45,Nebraska,7
Minnesota,35,Louisiana,24
(20) Mississippi,55,(13) Louisiana State,49
(23) Missouri,38,Vanderbilt,21
Nevada-Las Vegas,44,Hawaii,20
North Texas,45,Abilene Christian,31
(11) Notre Dame,21,(17) Duke,14
(14) Oklahoma,50,Iowa State,20
(9) Oregon,42,Stanford,6
(6) Penn State,41,Northwestern,13
Purdue,44,Illinois,19
Rice,24,East Carolina,17
Rutgers,52,Wagner,3
South Florida,44,Navy,30
(8) Southern California,48,Colorado,41
Southern Methodist,34,Charlotte,16
(21) Tennessee,41,South Carolina,20
(3) Texas,40,(24) Kansas,14
Texas A&M,34,Arkansas,22
Texas State,50,Southern Mississippi,36
Texas Tech,49,Houston,28
Toledo,35,Northern Illinois,33
Troy,28,Georgia State,7
Tulane,35,Alabama-Birmingham,23
Utah State,34,Connecticut,33
Virginia Tech,38,Pittsburgh,21
(7) Washington,31,Arizona,24
